شوال;7;0;7;1;6;7;2;0;1;4;0;7;4;3;7
ذى القعدة;2;1;3;1;2;3;1;2;0;0;0;3;1;2;3
ذى الحجة;10;2;12;2;10;12;3;2;3;2;2;12;8;4;12
المجموع;98;14;112;21;91;112;17;34;28;16;17;112;69;43;112
تبوك;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;21;4;25;7;18;25;4;8;5;3;5;25;19;6;25
صفر;20;4;24;24;0;24;1;7;3;8;5;24;16;8;24
ربيع أول;19;1;20;9;11;20;2;9;6;2;1;20;14;6;20
ربيع ثانى;27;10;37;2;35;37;7;20;4;4;2;37;25;12;37
جمادى أول;24;2;26;8;18;26;1;16;3;1;5;26;23;3;26
جمادى ثانى;19;4;23;0;23;23;1;10;4;2;6;23;15;8;23
رجب;23;2;25;3;22;25;4;12;4;0;5;25;21;4;25
شعبان;30;3;33;8;25;33;4;13;6;4;6;33;27;6;33
رمضان;33;15;48;9;39;48;9;21;12;3;3;48;38;10;48
شوال;19;5;24;4;20;24;5;6;9;2;2;24;17;7;24
ذى القعدة;22;6;28;3;25;28;2;10;8;3;5;28;18;10;28
ذى الحجة;25;10;35;2;33;35;7;9;8;7;4;35;24;11;35
المجموع;282;66;348;79;269;348;47;141;72;39;49;348;257;91;348
الجوف;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;15;1;16;6;10;16;4;4;4;2;2;16;11;5;16
صفر;14;2;16;6;10;16;2;8;2;0;4;16;14;2;16
ربيع أول;6;0;6;1;5;6;1;4;1;0;0;6;3;3;6
ربيع ثانى;18;1;19;3;16;19;2;6;7;2;2;19;13;6;19
جمادى أول;10;1;11;4;7;11;2;3;4;1;1;11;8;3;11
جمادى ثانى;7;2;9;1;8;9;0;4;4;0;1;9;8;1;9
رجب;15;1;16;5;11;16;2;7;3;3;1;16;8;8;16
شعبان;8;1;9;3;6;9;3;3;3;0;0;9;9;0;9
رمضان;9;2;11;7;4;11;1;5;4;0;1;11;6;5;11
شوال;14;1;15;4;11;15;1;9;3;0;2;15;13;2;15
ذى القعدة;12;6;18;3;15;18;5;3;9;0;1;18;18;0;18
ذى الحجة;13;4;17;2;15;17;3;6;2;2;4;17;11;6;17
المجموع;141;22;163;45;118;163;26;62;46;10;19;163;122;41;163
حائل;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;14;3;17;7;10;17;2;4;5;4;2;17;13;4;17
صفر;35;2;37;17;20;37;10;14;4;5;4;37;32;5;37
ربيع أول;25;1;26;12;14;26;3;12;3;3;5;26;19;7;26
ربيع ثانى;30;1;31;7;24;31;8;8;5;3;7;31;24;7;31
جمادى أول;27;0;27;12;15;27;4;15;4;3;1;27;23;4;27
جمادى ثانى;19;1;20;8;12;20;3;9;5;2;1;20;16;4;20
رجب;15;3;18;8;10;18;3;8;2;3;2;18;11;7;18
شعبان;21;2;23;4;19;23;5;3;9;3;3;23;12;11;23
رمضان;21;1;22;6;16;22;1;10;8;2;1;22;15;7;22
شوال;13;0;13;2;11;13;2;6;3;1;1;13;6;7;13
ذى القعدة;14;3;17;7;10;17;5;9;0;1;2;17;11;6;17
ذى الحجة;13;1;14;3;11;14;3;6;2;1;2;14;10;4;14
المجموع;247;18;265;93;172;265;49;104;50;31;31;265;192;73;265
نجران ;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عــدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;16;0;16;5;11;16;3;6;3;3;1;16;10;6;16
صفر;14;0;14;6;8;14;2;3;2;2;5;14;10;4;14
ربيع أول;16;3;19;8;11;19;2;6;4;3;4;19;10;9;19
ربيع ثانى;15;0;15;6;9;15;1;3;4;3;4;15;8;7;15
جمادى أول;15;0;15;6;9;15;1;6;2;4;2;15;12;3;15
جمادى ثانى;17;0;17;6;11;17;4;7;2;1;3;17;10;7;17
رجب;16;1;17;4;13;17;3;4;3;2;5;17;8;9;17
شعبان;12;0;12;4;8;12;2;8;1;0;1;12;8;4;12
رمضان;19;4;23;8;15;23;5;8;6;1;3;23;11;12;23
شوال;10;0;10;2;8;10;0;5;2;0;3;10;3;7;10
ذى القعدة;13;1;14;3;11;14;2;5;3;3;1;14;7;7;14
ذى الحجة;21;1;22;3;19;22;2;6;5;4;5;22;7;15;22
المجموع;184;10;194;61;133;194;27;67;37;26;37;194;104;90;194
القصيم;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;29;2;31;26;5;31;3;8;12;2;6;31;20;11;31
صفر;18;4;22;15;7;22;3;6;8;2;3;22;16;6;22
ربيع أول;18;3;21;15;6;21;5;8;5;2;1;21;14;7;21
ربيع ثانى;36;1;37;27;10;37;8;10;10;4;5;37;30;7;37
جمادى أول;21;6;27;15;12;27;4;6;10;4;3;27;17;10;27
جمادى ثانى;16;3;19;13;6;19;2;8;4;2;3;19;11;8;19
رجب;25;2;27;18;9;27;3;13;5;3;3;27;17;10;27
شعبان;22;3;25;13;12;25;1;9;9;4;2;25;10;15;25
رمضان;28;2;30;21;9;30;3;15;8;4;0;30;16;14;30
شوال;29;7;36;27;9;36;6;19;3;6;2;36;26;10;36
ذى القعدة;16;2;18;14;4;18;2;4;2;7;3;18;9;9;18
ذى الحجة;23;3;26;18;8;26;3;4;7;6;6;26;12;14;26
المجموع;281;38;319;222;97;319;43;110;83;46;37;319;198;121;319
الباحه;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;12;2;14;6;8;14;1;9;3;0;1;14;7;7;14
صفر;8;0;8;2;6;8;1;3;1;2;1;8;4;4;8
ربيع أول;8;0;8;6;2;8;0;1;5;2;0;8;3;5;8
ربيع ثانى;10;0;10;6;4;10;2;4;1;1;2;10;7;3;10
جمادى أول;7;0;7;5;2;7;0;4;2;0;1;7;5;2;7
جمادى ثانى;7;0;7;3;4;7;3;1;1;1;1;7;5;2;7
رجب;15;2;17;9;8;17;3;7;1;2;4;17;12;5;17
شعبان;9;1;10;7;3;10;0;2;4;2;2;10;8;2;10
رمضان;11;2;13;9;4;13;4;1;0;5;3;13;9;4;13
شوال;16;1;17;13;4;17;2;7;2;3;3;17;9;8;17
ذى القعدة;11;0;11;4;7;11;2;7;0;1;1;11;7;4;11
ذى الحجة;10;2;12;10;2;12;1;3;1;1;6;12;10;2;12
المجموع;124;10;134;80;54;134;19;49;21;20;25;134;86;48;134
عسير;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;63;5;68;4;64;68;5;26;21;7;9;68;50;18;68
صفر;52;6;58;1;57;58;7;19;15;10;7;58;41;17;58
ربيع أول;54;11;65;4;61;65;4;32;8;8;13;65;52;13;65
ربيع ثانى;54;5;59;7;52;59;8;28;16;4;3;59;48;11;59
جمادى أول;51;9;60;4;56;60;9;25;11;8;7;60;44;16;60
جمادى ثانى;51;4;55;2;53;55;6;24;11;10;4;55;37;18;55
رجب;66;1;67;13;54;67;7;33;17;5;5;67;55;12;67
شعبان;76;7;83;1;82;83;12;31;18;10;12;83;62;21;83
رمضان;75;16;91;6;85;91;17;28;16;8;22;91;69;22;91
شوال;73;10;83;5;78;83;10;30;17;10;16;83;65;18;83
ذى القعدة;55;7;62;4;58;62;8;28;11;5;10;62;49;13;62
ذى الحجة;74;3;77;0;77;77;8;33;18;7;11;77;60;17;77
المجموع;744;84;828;51;777;828;101;337;179;92;119;828;632;196;828
جازان;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;36;3;39;17;22;39;8;15;10;5;1;39;29;10;39
صفر;44;5;49;16;33;49;10;27;6;4;2;49;35;14;49
ربيع أول;47;1;48;16;32;48;1;21;14;7;5;48;35;13;48
ربيع ثانى;41;9;50;14;36;50;10;24;5;4;7;50;40;10;50
جمادى أول;40;12;52;16;36;52;5;19;15;7;6;52;36;16;52
جمادى ثانى;13;4;17;4;13;17;2;9;4;2;0;17;11;6;17
رجب;16;3;19;2;17;19;1;11;4;3;0;19;15;4;19
شعبان;11;17;28;9;19;28;5;8;6;6;3;28;18;10;28
رمضان;34;3;37;15;22;37;5;12;8;10;2;37;22;15;37
شوال;31;2;33;12;21;33;3;15;6;8;1;33;24;9;33
ذى القعدة;50;6;56;19;37;56;11;29;10;4;2;56;46;10;56
ذى الحجة;35;3;38;13;25;38;11;13;8;1;5;38;31;7;38
المجموع;398;68;466;153;313;466;72;203;96;61;34;466;342;124;466
جده;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;38;1;39;18;21;39;3;11;12;9;4;39;19;20;39
صفر;42;1;43;27;16;43;7;11;9;8;8;43;13;30;43
ربيع أول;28;3;31;16;15;31;5;6;8;8;4;31;8;23;31
ربيع ثانى;32;3;35;13;22;35;4;12;6;9;4;35;13;22;35
جمادى أول;38;2;40;14;26;40;4;13;9;8;6;40;17;23;40
جمادى ثانى;36;1;37;20;17;37;3;12;10;5;7;37;16;21;37
رجب;33;2;35;22;13;35;4;11;6;7;7;35;15;20;35
شعبان;33;4;37;15;22;37;3;13;8;8;5;37;12;25;37
رمضان;34;4;38;21;17;38;4;9;8;7;10;38;16;22;38
شوال;28;6;34;18;16;34;5;5;17;4;3;34;13;21;34
ذى القعدة;26;1;27;17;10;27;2;8;7;6;4;27;15;12;27
ذى الحجة;25;3;28;14;14;28;3;9;6;5;5;28;11;17;28
المجموع;393;31;424;215;209;424;47;120;106;84;67;424;168;256;424
الطائف;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذ كور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;41;4;45;13;32;45;1;9;17;11;7;45;28;17;45
صفر;36;6;42;15;27;42;3;12;15;9;3;42;28;14;42
ربيع أول;43;9;52;11;41;52;6;12;11;14;9;52;25;27;52
ربيع ثانى;35;3;38;15;23;38;11;5;10;3;9;38;19;19;38
جمادى أول;30;3;33;7;26;33;5;9;8;9;2;33;16;17;33
جمادى ثانى;28;1;29;6;23;29;6;10;8;2;3;29;21;8;29
رجب;41;4;45;6;39;45;6;11;10;6;12;45;22;23;45
شعبان;43;7;50;9;41;50;7;11;14;9;9;50;25;25;50
رمضان;30;3;33;6;27;33;5;6;8;8;6;33;23;10;33
شوال;52;10;62;9;53;62;13;16;12;14;7;62;40;22;62
ذى القعدة;32;1;33;7;26;33;2;4;12;11;4;33;26;7;33
ذى الحجة;41;4;45;8;37;45;5;13;12;9;6;45;31;14;45
المجموع;452;55;507;112;395;507;70;118;137;105;77;507;304;203;507
العاصمه;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذ كــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;47;0;47;12;35;47;2;17;12;6;10;47;29;18;47
صفر;46;6;52;7;45;52;3;21;11;7;10;52;38;14;52
ربيع أول;58;10;68;17;51;68;9;28;12;9;10;68;36;32;68
ربيع ثانى;43;9;52;13;39;52;5;13;9;10;15;52;28;24;52
جمادى أول;50;18;68;8;60;68;10;15;17;5;21;68;42;26;68
جمادى ثانى;47;8;55;16;39;55;5;7;11;13;19;55;30;25;55
رجب;52;12;64;14;50;64;2;9;13;8;32;64;29;35;64
شعبان;48;12;60;20;40;60;7;21;9;6;17;60;39;21;60
رمضان;43;14;57;11;46;57;11;13;9;4;20;57;38;19;57
شوال;64;14;78;11;67;78;5;20;18;25;10;78;48;30;78
ذى القعدة;47;10;57;15;42;57;1;14;9;6;27;57;34;23;57
ذى الحجة;45;7;52;21;31;52;5;9;12;8;18;52;14;38;52
المجموع;590;120;710;165;545;710;65;187;142;107;209;710;405;305;710
القريات-;عدد الأشخاص المتوفين حسب الجنس;;;عــد د الأشخاص المتوفين حـسب المكان;;;عــد د الأشخاص المتوفين حسب العمر;;;;;;عــد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكـور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;5;2;7;2;5;7;1;0;2;2;2;7;7;0;7
صفر;4;1;5;1;4;5;2;1;1;1;0;5;5;0;5
ربيع أول;10;0;10;3;7;10;2;4;2;0;2;10;8;2;10
ربيع ثانى;4;0;4;2;2;4;1;1;1;1;0;4;1;3;4
جمادى أول;8;2;10;2;8;10;3;4;0;1;2;10;10;0;10
جمادى ثانى;5;0;5;0;5;5;0;3;0;1;1;5;5;0;5
رجب;3;0;3;1;2;3;2;1;0;0;0;3;3;0;3
شعبان;3;0;3;0;3;3;2;0;1;0;0;3;2;1;3
رمضان;3;4;7;0;7;7;4;0;1;1;1;7;2;5;7
شوال;8;1;9;1;8;9;1;6;0;1;1;9;8;1;9
ذى القعدة;7;1;8;3;5;8;4;2;1;0;1;8;6;2;8
ذى الحجة;5;1;6;0;6;6;2;2;1;0;1;6;4;2;6
المجموع;65;12;77;15;62;77;24;24;10;8;11;77;61;16;77
المجموع الكلي;عدد الأشخاص المتوفين حسب الجنس;;;المجموع الكلي- عـــد د الأشخاص المتوفين حسب المكان;;;المجموع الكلي-عـــــــــــــــد  د الأشخاص المتوفين حسب العمر;;;;;;المجموع الكلي- عـد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;577;64;641;222;419;641;78;194;201;95;73;641;383;258;641
صفر;583;61;644;228;416;644;83;211;158;109;83;644;418;226;644
ربيع أول;570;65;635;217;418;635;66;235;157;103;74;635;366;269;635
ربيع ثانى;621;80;701;240;461;701;113;225;168;104;91;701;432;269;701
جمادى أول;532;90;622;173;449;622;75;223;162;85;77;622;394;228;622
جمادى ثانى;470;54;524;164;360;524;63;167;137;82;75;524;318;206;524
رجب;547;58;605;217;388;605;67;189;148;102;99;605;346;259;605
شعبان;511;79;590;169;421;590;69;169;161;108;83;590;349;241;590
رمضان;569;99;668;229;439;668;112;183;194;81;98;668;373;295;668
شوال;578;102;680;170;510;680;94;210;166;124;86;680;411;269;680
ذى القعدة;485;68;553;160;393;553;76;198;120;81;78;553;337;216;553
ذى الحجة;547;79;626;170;456;626;92;182;145;101;106;626;353;273;626
المجموع;6590;899;7489;2359;5130;7489;988;2386;1917;1175;1023;7489;4480;3009;7489
;;;;;;;;;;;;;;;
