الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
حـــائل;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;8;1;9;2;7;9;0;5;4;0;0;9;7;2;9
صفر;18;2;20;9;11;20;2;11;3;3;1;20;18;2;20
ربيع أول;28;1;29;14;15;29;1;17;5;4;2;29;26;3;29
ربيع ثانى;12;1;13;5;8;13;3;5;3;2;0;13;11;2;13
جمادى أول;13;1;14;6;8;14;1;7;3;3;0;14;11;3;14
جمادى ثانى;8;1;9;3;6;9;0;3;4;2;0;9;7;2;9
رجب;6;0;6;3;3;6;1;2;2;1;0;6;5;1;6
شعبان;27;1;28;19;9;28;2;12;8;4;2;28;25;3;28
رمضان;15;1;16;9;7;16;1;7;4;2;2;16;14;2;16
شوال;22;1;23;12;11;23;0;7;12;4;0;23;14;9;23
ذى القعدة;12;0;12;8;4;12;0;7;3;2;0;12;10;2;12
ذى الحجة;11;3;14;6;8;14;3;4;3;3;1;14;12;2;14
المجموع;180;13;193;96;97;193;14;87;54;30;8;193;160;33;193
نجران;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عــدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;14;6;20;9;11;20;4;3;8;4;1;20;8;12;20
صفر;13;0;13;6;7;13;1;6;4;1;1;13;8;5;13
ربيع أول;13;1;14;6;8;14;3;3;0;3;5;14;9;5;14
ربيع ثانى;13;2;15;5;10;15;3;5;5;1;1;15;10;5;15
جمادى أول;12;1;13;3;10;13;1;7;3;0;2;13;11;2;13
جمادى ثانى;6;0;6;1;5;6;1;1;1;0;3;6;1;5;6
رجب;19;2;21;8;13;21;1;7;6;1;6;21;11;10;21
شعبان;9;0;9;1;8;9;0;1;4;1;3;9;5;4;9
رمضان;19;3;22;3;19;22;2;7;3;8;2;22;11;11;22
شوال;13;1;14;5;9;14;4;3;2;3;2;14;11;3;14
ذى القعدة;12;3;15;3;12;15;1;6;5;2;1;15;5;10;15
ذى الحجة;13;1;14;6;8;14;3;3;0;3;5;14;7;7;14
المجموع;156;20;176;56;120;176;24;52;41;27;32;176;97;79;176
القصيم;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;24;0;24;16;8;24;0;11;10;2;1;24;13;11;24
صفر;18;1;19;11;8;19;2;9;3;3;2;19;14;5;19
ربيع أول;14;2;16;14;2;16;2;3;4;2;5;16;10;6;16
ربيع ثانى;24;3;27;19;8;27;4;7;11;3;2;27;15;12;27
جمادى أول;26;1;27;18;9;27;1;9;7;4;6;27;18;9;27
جمادى ثانى;11;1;12;11;1;12;1;5;4;1;1;12;8;4;12
