الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;27;7;34;11;23;34;2;11;10;8;3;34;31;3;34
صفر;32;1;33;10;23;33;8;8;7;5;5;33;26;7;33
ربيع أول;18;3;21;9;12;21;3;8;3;5;2;21;16;5;21
ربيع ثانى;24;1;25;14;11;25;1;11;7;4;2;25;19;6;25
جمادى أول;21;1;22;14;8;22;3;11;2;3;3;22;18;4;22
جمادى ثانى;28;3;31;18;13;31;4;19;6;0;2;31;27;4;31
رجب;23;2;25;11;14;25;1;10;8;4;2;25;10;15;25
شعبان;24;3;27;12;15;27;0;13;7;6;1;27;21;6;27
رمضان;16;2;18;10;8;18;1;7;5;3;2;18;12;6;18
شوال;19;3;22;9;13;22;1;8;5;6;2;22;15;7;22
ذى القعدة;21;7;28;6;22;28;3;12;6;4;3;28;19;9;28
ذى الحجة;11;2;13;5;8;13;1;4;3;3;2;13;11;2;13
المجموع;264;35;299;129;170;299;28;122;69;51;29;299;225;74;299
نجران;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عــدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;16;0;16;10;6;16;2;9;2;2;1;16;12;4;16
صفر;8;0;8;5;3;8;2;5;0;1;0;8;3;5;8
ربيع أول;11;0;11;6;5;11;5;4;1;0;1;11;10;1;11
ربيع ثانى;19;5;24;4;20;24;6;10;7;0;1;24;12;12;24
جمادى أول;13;3;16;3;13;16;3;7;2;1;3;16;4;12;16
جمادى ثانى;5;1;6;3;3;6;1;2;2;0;1;6;4;2;6
رجب;8;1;9;5;4;9;4;3;1;0;1;9;5;4;9
شعبان;18;4;22;7;15;22;1;6;8;3;4;22;6;16;22
رمضان;15;1;16;3;13;16;2;9;2;1;2;16;11;5;16
شوال;16;1;17;7;10;17;3;7;3;3;1;17;10;7;17
ذى القعدة;9;0;9;2;7;9;2;3;2;2;0;9;5;4;9
ذى الحجة;19;0;19;7;12;19;2;3;3;2;9;19;9;10;19
المجموع;157;16;173;62;111;173;33;68;33;15;24;173;91;82;173
القصيم;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;34;3;37;18;19;37;4;14;10;3;6;37;26;11;37
صفر;23;2;25;14;11;25;2;12;6;3;2;25;13;12;25
ربيع أول;22;2;24;14;10;24;4;12;7;1;0;24;13;11;24
ربيع ثانى;20;2;22;10;12;22;0;10;8;2;2;22;15;7;22
